C[N+](C)(C)CCCC(=O)OC	25804-inactive-pubchem
CCCCC(CC)COCCCN	21499-inactive-pubchem
Cc1cc(=O)n(c(c1)CC(C)CC(C)(C)C)O	60196297-inactive-pubchem
CC(C)C[C@H](C(=O)O)NC(=O)[C@H]([C@@H](Cc1ccccc1)N)O	60196274-inactive-pubchem
COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-]	4130-inactive-pubchem
CN(C)C(=O)/N=N/C(=O)N(C)C	5353800-inactive-pubchem
C(CO/C=C/[C@@H](C(=O)O)N)N	16211101-inactive-pubchem
c1cc(ccc1CCO)[N+](=O)[O-]	7494-inactive-pubchem
c1ccc(c(c1)CCO)[N+](=O)[O-]	27054-inactive-pubchem
Cc1cc(ccc1)NC(=O)Oc1cccc(c1)NC(=O)OC	24744-inactive-pubchem
c1cc2c(cc1Cl)[nH]c(=O)o2	2733-inactive-pubchem
c1cc(ccc1/C=C(\C#N)/C(=C(C#N)C#N)N)O	5328804-inactive-pubchem
CC[N+](CC)(CC)CCC(C1CCCCC1)(c1ccccc1)O	20298-inactive-pubchem
c1ccc(c(c1)c1ccc(cc1)C(F)(F)F)C(=O)O	55251-inactive-pubchem
COc1ccc(cc1)C=C(C#N)C#N	2063-inactive-pubchem
c1c([nH]cn1)C[C@@H](C(=O)O)N	66091-inactive-pubchem
CCCCC[C@H](C1[C@H](C[C@H](C[C@H](C[C@H](C[C@H](CC(C(C(/C(=C/C=C/C=C/C=C/C=C/[C@H](C(OC1=O)C)O)/C)O)O)O)O)O)O)O)O)O	60196306-inactive-pubchem
C[C@H]1CCC/C=C/C2C[C@@H](C[C@]2(C/C=C/C(=O)O1)O)O	11957469-inactive-pubchem
CC(=O)Oc1c(ccc(c1)C(F)(F)F)C(=O)O	9458-inactive-pubchem
CC(=O)N[C@H]([C@H](CC(=O)C(=O)O)O)[C@H]([C@@H]([C@@H](CO)O)O)O	14017587-inactive-pubchem
C/C/1=C/CC[C@@]2([C@H](O2)[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)C	5420804-inactive-pubchem
C1CN(CC(N1)C(=O)O)CCCP(=O)(O)O	1228-inactive-pubchem
CCCc1nc(c(n1Cc1ccc(cc1)c1ccccc1c1n[nH]nn1)C(=O)OCc1c(oc(=O)o1)C)C(C)(C)O	130881-inactive-pubchem
c1cc(cc(c1)Nc1c(cccn1)C(=O)O)C(F)(F)F	4488-inactive-pubchem
CCOC(=O)c1c[nH]c2cc(c(cc2c1=O)OCC(C)C)OCC(C)C	21651-inactive-pubchem
C[C@H](CCC(=O)NCCS(=O)(=O)[O-])C1CCC2C1([C@H](CC1C2[C@@H](CC2C1(CC[C@H](C2)O)C)O)O)C	11957443-inactive-pubchem
CCOC(=O)C1=C(NC(=C(C1c1ccccc1Cl)C(=O)OC)C)COCCN	60496-inactive-pubchem
c1ccc2c(c1)cccc2[N+](=O)[O-]	6849-inactive-pubchem
Cc1c(c(ccc1)[N+](=O)[O-])[N+](=O)[O-]	11761-inactive-pubchem
Cc1c(c(ccc1)C)[N+](=O)[O-]	6672-inactive-pubchem
